Organisation,Location,Date,Rocket_Status,Price,Mission_Status
ExPace,"Site 95, Jiuquan Satellite Launch Center, China","Fri Jul 10, 2020 04:17 UTC",Active,28.3,Failure
CASC,"LC-3, Xichang Satellite Launch Center, China","Thu Jul 09, 2020 12:11 UTC",Active,29.15,Success
IAI,"Pad 1, Palmachim Airbase, Israel","Mon Jul 06, 2020 01:00 UTC",Active,0,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Sat Jul 04, 2020 23:44 UTC",Active,29.75,Success
Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand","Sat Jul 04, 2020 21:19 UTC",Active,7.5,Failure
CASC,"LC-9, Taiyuan Satellite Launch Center, China","Fri Jul 03, 2020 03:10 UTC",Active,64.68,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Tue Jun 30, 2020 20:10 UTC",Active,50.0,Success
CASC,"LC-2, Xichang Satellite Launch Center, China","Tue Jun 23, 2020 01:43 UTC",Active,29.15,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Wed Jun 17, 2020 07:19 UTC",Active,29.75,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Sat Jun 13, 2020 09:21 UTC",Active,50.0,Success
Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand","Sat Jun 13, 2020 05:12 UTC",Active,7.5,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China","Wed Jun 10, 2020 18:31 UTC",Active,30.8,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Thu Jun 04, 2020 01:25 UTC",Active,50.0,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Sun May 31, 2020 08:53 UTC",Active,29.75,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Sat May 30, 2020 19:22 UTC",Active,50.0,Success
CASC,"Xichang Satellite Launch Center, China","Fri May 29, 2020 20:13 UTC",Active,5.3,Success
Virgin Orbit,"Cosmic Girl, Mojave Air and Space Port, California, USA","Mon May 25, 2020 19:50 UTC",Active,12.0,Failure
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia","Fri May 22, 2020 07:31 UTC",Active,25.0,Success
MHI,"LA-Y2, Tanegashima Space Center, Japan","Wed May 20, 2020 17:31 UTC",Retired,112.5,Success
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA","Sun May 17, 2020 13:14 UTC",Retired,120.0,Success
ExPace,"Site 95, Jiuquan Satellite Launch Center, China","Tue May 12, 2020 01:16 UTC",Active,5.8,Success
CASC,"LC-101, Wenchang Satellite Launch Center, China","Tue May 05, 2020 10:00 UTC",Active,0,Success
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Sat Apr 25, 2020 01:51 UTC",Active,17.42,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Wed Apr 22, 2020 19:30 UTC",Active,50.0,Success
IRGC,"Launch Platform, Shahrud Missile Test Site, Iran","Wed Apr 22, 2020 03:58 UTC",Active,0,Success
CASC,"LC-2, Xichang Satellite Launch Center, China","Thu Apr 09, 2020 11:46 UTC",Active,29.15,Failure
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Thu Apr 09, 2020 08:05 UTC",Active,17.42,Success
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA","Thu Mar 26, 2020 20:18 UTC",Active,153.0,Success
CASC,"LC-3, Xichang Satellite Launch Center, China","Tue Mar 24, 2020 03:43 UTC",Active,30.8,Success
Starsem,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Sat Mar 21, 2020 17:06 UTC",Active,25.0,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Wed Mar 18, 2020 12:16 UTC",Active,50.0,Success
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia","Mon Mar 16, 2020 18:28 UTC",Active,25.0,Success
CASC,"LC-201, Wenchang Satellite Launch Center, China","Mon Mar 16, 2020 13:34 UTC",Active,0,Failure
CASC,"LC-2, Xichang Satellite Launch Center, China","Mon Mar 09, 2020 11:55 UTC",Active,29.15,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Sat Mar 07, 2020 04:50 UTC",Active,50.0,Success
VKS RF,"Site 43/3, Plesetsk Cosmodrome, Russia","Thu Feb 20, 2020 08:24 UTC",Active,23.0,Success
CASC,"LC-3, Xichang Satellite Launch Center, China","Wed Feb 19, 2020 21:07 UTC",Active,29.75,Success
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Tue Feb 18, 2020 22:18 UTC",Active,200.0,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Mon Feb 17, 2020 15:05 UTC",Active,50.0,Success
Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA","Sat Feb 15, 2020 20:21 UTC",Active,85.0,Success
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA","Mon Feb 10, 2020 04:03 UTC",Retired,115.0,Success
ISA,"Imam Khomeini Spaceport, Semnan Space Center, Iran","Sun Feb 09, 2020 15:48 UTC",Active,0,Failure
MHI,"LA-Y1, Tanegashima Space Center, Japan","Sun Feb 09, 2020 01:34 UTC",Active,90.0,Success
Starsem,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Thu Feb 06, 2020 21:42 UTC",Active,25.0,Success
Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand","Fri Jan 31, 2020 02:56 UTC",Active,7.5,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Wed Jan 29, 2020 14:06 UTC",Active,50.0,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Sun Jan 19, 2020 15:30 UTC",Active,50.0,Success
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Thu Jan 16, 2020 21:05 UTC",Active,200.0,Success
ExPace,"Site 95, Jiuquan Satellite Launch Center, China","Thu Jan 16, 2020 03:02 UTC",Active,5.8,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China","Wed Jan 15, 2020 02:53 UTC",Active,29.75,Success
CASC,"LC-2, Xichang Satellite Launch Center, China","Tue Jan 07, 2020 15:20 UTC",Active,29.15,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Tue Jan 07, 2020 02:19 UTC",Active,50.0,Success
CASC,"LC-101, Wenchang Satellite Launch Center, China","Fri Dec 27, 2019 12:45 UTC",Active,0,Success
VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia","Thu Dec 26, 2019 23:11 UTC",Retired,13.0,Success
Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan","Tue Dec 24, 2019 12:03 UTC",Active,65.0,Success
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA","Fri Dec 20, 2019 11:36 UTC",Active,0,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China","Fri Dec 20, 2019 03:22 UTC",Active,64.68,Success
Arianespace,"ELS, Guiana Space Centre, French Guiana, France","Wed Dec 18, 2019 08:54 UTC",Active,30.0,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Tue Dec 17, 2019 00:10 UTC",Active,50.0,Success
CASC,"LC-3, Xichang Satellite Launch Center, China","Mon Dec 16, 2019 07:22 UTC",Active,0,Success
Blue Origin,"Launch Site One, West Texas, Texas, USA","Wed Dec 11, 2019 17:55 UTC",Active,0,Success
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India","Wed Dec 11, 2019 09:55 UTC",Active,21.0,Success
VKS RF,"Site 43/3, Plesetsk Cosmodrome, Russia","Wed Dec 11, 2019 08:54 UTC",Active,25.0,Success
ExPace,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Sat Dec 07, 2019 08:52 UTC",Active,5.8,Success
ExPace,"Taiyuan Satellite Launch Center, China","Sat Dec 07, 2019 02:55 UTC",Active,5.8,Success
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Fri Dec 06, 2019 09:34 UTC",Active,17.42,Success
Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand","Fri Dec 06, 2019 08:18 UTC",Active,7.5,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Thu Dec 05, 2019 17:29 UTC",Active,50.0,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China","Wed Nov 27, 2019 23:52 UTC",Active,64.68,Success
ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India","Wed Nov 27, 2019 03:58 UTC",Active,31.0,Success
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Tue Nov 26, 2019 21:23 UTC",Active,200.0,Success
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia","Mon Nov 25, 2019 17:52 UTC",Active,0,Success
CASC,"LC-3, Xichang Satellite Launch Center, China","Sat Nov 23, 2019 00:55 UTC",Active,0,Success
ExPace,"Site 95, Jiuquan Satellite Launch Center, China","Sun Nov 17, 2019 10:00 UTC",Active,5.8,Success
CASC,"LC-16, Taiyuan Satellite Launch Center, China","Wed Nov 13, 2019 06:35 UTC",Active,19.0,Success
ExPace,"Site 95, Jiuquan Satellite Launch Center, China","Wed Nov 13, 2019 03:40 UTC",Active,5.8,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Mon Nov 11, 2019 14:56 UTC",Active,50.0,Success
CASC,"LC-2, Xichang Satellite Launch Center, China","Mon Nov 04, 2019 17:43 UTC",Active,29.15,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China","Sun Nov 03, 2019 03:22 UTC",Active,64.68,Success
Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA","Sat Nov 02, 2019 13:59 UTC",Active,85.0,Success
CASC,"LC-3, Xichang Satellite Launch Center, China","Thu Oct 17, 2019 15:21 UTC",Active,29.15,Success
Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand","Thu Oct 17, 2019 01:22 UTC",Active,7.5,Success
Northrop,"Stargazer, Cape Canaveral SFS, Florida, USA","Fri Oct 11, 2019 01:59 UTC",Active,40.0,Success
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan","Wed Oct 09, 2019 10:17 UTC",Active,65.0,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China","Fri Oct 04, 2019 18:51 UTC",Active,64.68,Success
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia","Thu Sep 26, 2019 07:46 UTC",Active,25.0,Success
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Wed Sep 25, 2019 13:57 UTC",Retired,0,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Wed Sep 25, 2019 00:54 UTC",Active,29.75,Success
MHI,"LA-Y2, Tanegashima Space Center, Japan","Tue Sep 24, 2019 16:05 UTC",Retired,112.5,Success
CASC,"LC-2, Xichang Satellite Launch Center, China","Sun Sep 22, 2019 21:10 UTC",Active,0,Success
CASC,"Site 95, Jiuquan Satellite Launch Center, China","Thu Sep 19, 2019 06:42 UTC",Active,5.3,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China","Thu Sep 12, 2019 03:26 UTC",Active,64.68,Success
ExPace,"Site 95, Jiuquan Satellite Launch Center, China","Fri Aug 30, 2019 23:41 UTC",Active,5.8,Success
VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia","Fri Aug 30, 2019 14:00 UTC",Retired,13.0,Success
ISA,"Imam Khomeini Spaceport, Semnan Space Center, Iran","Thu Aug 29, 2019",Active,0,Prelaunch Failure
ULA,"SLC-37B, Cape Canaveral SFS, Florida, USA","Thu Aug 22, 2019 13:06 UTC",Retired,164.0,Success
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Thu Aug 22, 2019 03:38 UTC",Active,17.42,Success
Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand","Mon Aug 19, 2019 12:12 UTC",Active,7.5,Success
CASC,"LC-2, Xichang Satellite Launch Center, China","Mon Aug 19, 2019 12:03 UTC",Active,29.15,Success
CASC,"Site 95, Jiuquan Satellite Launch Center, China","Sat Aug 17, 2019 04:11 UTC",Active,7.5,Success
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA","Thu Aug 08, 2019 10:13 UTC",Active,153.0,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Tue Aug 06, 2019 23:23 UTC",Active,50.0,Success
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Tue Aug 06, 2019 19:30 UTC",Active,200.0,Success
Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan","Mon Aug 05, 2019 21:56 UTC",Active,65.0,Success
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Wed Jul 31, 2019 12:10 UTC",Active,17.42,Success
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia","Tue Jul 30, 2019 05:57 UTC",Active,23.0,Success
CASC,"LC-3, Xichang Satellite Launch Center, China","Fri Jul 26, 2019 03:57 UTC",Active,30.8,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Thu Jul 25, 2019 22:01 UTC",Active,50.0,Success
i-Space,"Site 95, Jiuquan Satellite Launch Center, China","Thu Jul 25, 2019 05:00 UTC",Active,0,Success
ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India","Mon Jul 22, 2019 09:13 UTC",Active,62.0,Success
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Sat Jul 20, 2019 16:28 UTC",Retired,0,Success
Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan","Sat Jul 13, 2019 12:30 UTC",Active,65.0,Success
Arianespace,"ELV-1, Guiana Space Centre, French Guiana, France","Thu Jul 11, 2019 01:53 UTC",Active,37.0,Failure
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia","Wed Jul 10, 2019 17:14 UTC",Active,0,Success
Roscosmos,"Site 1S, Vostochny Cosmodrome, Russia","Fri Jul 05, 2019 05:41 UTC",Active,25.0,Success
Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand","Sat Jun 29, 2019 04:30 UTC",Active,7.5,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Tue Jun 25, 2019 06:30 UTC",Active,90.0,Success
CASC,"LC-3, Xichang Satellite Launch Center, China","Mon Jun 24, 2019 18:09 UTC",Active,29.15,Success
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Thu Jun 20, 2019 21:43 UTC",Active,200.0,Success
SpaceX,"SLC-4E, Vandenberg SFB, California, USA","Wed Jun 12, 2019 14:17 UTC",Active,50.0,Success
CASC,"Tai Rui Barge, Yellow Sea","Wed Jun 05, 2019 04:06 UTC",Active,5.3,Success
Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan","Thu May 30, 2019 17:42 UTC",Active,65.0,Success
Roscosmos,"Site 43/4, Plesetsk Cosmodrome, Russia","Mon May 27, 2019 06:23 UTC",Active,25.0,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Fri May 24, 2019 02:30 UTC",Active,50.0,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China","Wed May 22, 2019 22:49 UTC",Active,64.68,Failure
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India","Wed May 22, 2019 00:00 UTC",Active,21.0,Success
CASC,"LC-2, Xichang Satellite Launch Center, China","Fri May 17, 2019 15:48 UTC",Active,20.0,Success
Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand","Sun May 05, 2019 06:00 UTC",Active,7.5,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Sat May 04, 2019 06:48 UTC",Active,50.0,Success
Blue Origin,"Launch Site One, West Texas, Texas, USA","Thu May 02, 2019 13:35 UTC",Active,0,Success
CASC,"Taiyuan Satellite Launch Center, China","Mon Apr 29, 2019 22:52 UTC",Active,64.68,Success
CASC,"LC-3, Xichang Satellite Launch Center, China","Sat Apr 20, 2019 14:41 UTC",Active,29.15,Success
Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA","Wed Apr 17, 2019 20:46 UTC",Retired,85.0,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Thu Apr 11, 2019 22:35 UTC",Active,90.0,Success
Arianespace,"ELS, Guiana Space Centre, French Guiana, France","Thu Apr 04, 2019 17:04 UTC",Active,30.0,Success
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Thu Apr 04, 2019 11:01 UTC",Active,17.42,Success
ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India","Mon Apr 01, 2019 03:57 UTC",Active,21.0,Success
CASC,"LC-2, Xichang Satellite Launch Center, China","Sun Mar 31, 2019 15:51 UTC",Active,29.15,Success
Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand","Thu Mar 28, 2019 23:27 UTC",Active,7.5,Success
OneSpace,"Site 95, Jiuquan Satellite Launch Center, China","Wed Mar 27, 2019 09:39 UTC",Active,0,Failure
Arianespace,"ELV-1, Guiana Space Centre, French Guiana, France","Fri Mar 22, 2019 01:50 UTC",Active,37.0,Success
ULA,"SLC-37B, Cape Canaveral SFS, Florida, USA","Sat Mar 16, 2019 00:26 UTC",Retired,0,Success
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Thu Mar 14, 2019 19:14 UTC",Retired,0,Success
CASC,"LC-3, Xichang Satellite Launch Center, China","Sat Mar 09, 2019 16:28 UTC",Active,29.15,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Sat Mar 02, 2019 07:49 UTC",Active,50.0,Success
Arianespace,"ELS, Guiana Space Centre, French Guiana, France","Wed Feb 27, 2019 21:37 UTC",Active,30.0,Success
Virgin Galactic,"VMS Eve, Mojave Air and Space Port, California, USA","Fri Feb 22, 2019",Active,0,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Fri Feb 22, 2019 01:45 UTC",Active,50.0,Success
VKS RF,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Thu Feb 21, 2019 16:47 UTC",Active,25.0,Success
ISA,"Imam Khomeini Spaceport, Semnan Space Center, Iran","Tue Feb 05, 2019 21:01 UTC",Active,0,Failure
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Tue Feb 05, 2019 21:01 UTC",Active,200.0,Success
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India","Thu Jan 24, 2019 18:07 UTC",Active,0,Success
Blue Origin,"Launch Site One, West Texas, Texas, USA","Wed Jan 23, 2019 15:05 UTC",Active,0,Success
CASC,"Site 95, Jiuquan Satellite Launch Center, China","Mon Jan 21, 2019 05:42 UTC",Active,5.3,Success
ULA,"SLC-6, Vandenberg SFB, California, USA","Sat Jan 19, 2019 19:10 UTC",Active,350.0,Success
JAXA,"Mu Pad, Uchinoura Space Center, Japan","Fri Jan 18, 2019 00:50 UTC",Active,39.0,Success
ISA,"Imam Khomeini Spaceport, Semnan Space Center, Iran","Tue Jan 15, 2019 00:30 UTC",Active,0,Failure
SpaceX,"SLC-4E, Vandenberg SFB, California, USA","Fri Jan 11, 2019 15:31 UTC",Active,50.0,Success
CASC,"LC-2, Xichang Satellite Launch Center, China","Thu Jan 10, 2019 17:11 UTC",Active,29.15,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Sat Dec 29, 2018 08:00 UTC",Active,30.0,Success
Roscosmos,"Site 1S, Vostochny Cosmodrome, Russia","Thu Dec 27, 2018 02:07 UTC",Active,23.0,Success
CASC,"LC-3, Xichang Satellite Launch Center, China","Mon Dec 24, 2018 16:53 UTC",Active,20.0,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Sun Dec 23, 2018 13:51 UTC",Active,50.0,Success
CASC,"Site 95, Jiuquan Satellite Launch Center, China","Fri Dec 21, 2018 23:51 UTC",Active,5.3,Success
Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan","Fri Dec 21, 2018 00:20 UTC",Active,65.0,Success
Arianespace,"ELS, Guiana Space Centre, French Guiana, France","Wed Dec 19, 2018 16:37 UTC",Active,30.0,Success
ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India","Wed Dec 19, 2018 10:40 UTC",Active,47.0,Success
Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand","Sun Dec 16, 2018 06:33 UTC",Active,7.5,Success
Virgin Galactic,"VMS Eve, Mojave Air and Space Port, California, USA","Thu Dec 13, 2018",Active,0,Success
CASC,"LC-2, Xichang Satellite Launch Center, China","Fri Dec 07, 2018 18:23 UTC",Active,29.15,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Fri Dec 07, 2018 04:12 UTC",Active,29.75,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Wed Dec 05, 2018 18:16 UTC",Active,50.0,Success
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Tue Dec 04, 2018 20:37 UTC",Active,200.0,Success
SpaceX,"SLC-4E, Vandenberg SFB, California, USA","Mon Dec 03, 2018 18:34 UTC",Active,50.0,Success
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Mon Dec 03, 2018 11:31 UTC",Retired,0,Success
VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia","Fri Nov 30, 2018 02:27 UTC",Retired,13.0,Success
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India","Thu Nov 29, 2018 04:27 UTC",Active,21.0,Success
Arianespace,"ELV-1, Guiana Space Centre, French Guiana, France","Wed Nov 21, 2018 01:42 UTC",Active,37.0,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Mon Nov 19, 2018 23:40 UTC",Active,29.75,Success
CASC,"LC-3, Xichang Satellite Launch Center, China","Sun Nov 18, 2018 18:07 UTC",Active,0,Success
Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA","Sat Nov 17, 2018 09:01 UTC",Retired,85.0,Success
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Fri Nov 16, 2018 18:14 UTC",Retired,0,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Thu Nov 15, 2018 20:46 UTC",Active,50.0,Success
ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India","Wed Nov 14, 2018 11:38 UTC",Active,62.0,Success
Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand","Sun Nov 11, 2018 03:50 UTC",Active,7.5,Success
Arianespace,"ELS, Guiana Space Centre, French Guiana, France","Wed Nov 07, 2018 00:47 UTC",Active,30.0,Success
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia","Sat Nov 03, 2018 20:17 UTC",Active,25.0,Success
CASC,"LC-2, Xichang Satellite Launch Center, China","Thu Nov 01, 2018 15:57 UTC",Active,29.15,Success
MHI,"LA-Y1, Tanegashima Space Center, Japan","Mon Oct 29, 2018 04:08 UTC",Active,90.0,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Mon Oct 29, 2018 00:43 UTC",Active,30.8,Success
Landspace,"Site 95, Jiuquan Satellite Launch Center, China","Sat Oct 27, 2018 08:00 UTC",Retired,0,Failure
Roscosmos,"Site 43/4, Plesetsk Cosmodrome, Russia","Thu Oct 25, 2018 00:15 UTC",Active,20.0,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China","Wed Oct 24, 2018 22:57 UTC",Active,64.68,Success
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Sat Oct 20, 2018 01:45 UTC",Active,200.0,Success
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA","Wed Oct 17, 2018 04:15 UTC",Active,153.0,Success
CASC,"LC-3, Xichang Satellite Launch Center, China","Mon Oct 15, 2018 04:23 UTC",Active,0,Success
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Thu Oct 11, 2018 08:40 UTC",Retired,0,Failure
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Tue Oct 09, 2018 02:43 UTC",Active,30.8,Success
SpaceX,"SLC-4E, Vandenberg SFB, California, USA","Mon Oct 08, 2018 02:21 UTC",Active,50.0,Success
ExPace,"Site 95, Jiuquan Satellite Launch Center, China","Sat Sep 29, 2018 04:13 UTC",Active,5.8,Success
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Tue Sep 25, 2018 22:38 UTC",Active,200.0,Success
MHI,"LA-Y2, Tanegashima Space Center, Japan","Sat Sep 22, 2018 17:52 UTC",Retired,112.5,Success
CASC,"LC-2, Xichang Satellite Launch Center, China","Wed Sep 19, 2018 14:07 UTC",Active,0,Success
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India","Sun Sep 16, 2018 16:38 UTC",Active,21.0,Success
ULA,"SLC-2W, Vandenberg SFB, California, USA","Sat Sep 15, 2018 13:02 UTC",Retired,0,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Mon Sep 10, 2018 04:45 UTC",Active,50.0,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China","Fri Sep 07, 2018 03:15 UTC",Active,30.8,Success
CASC,"LC-3, Xichang Satellite Launch Center, China","Fri Aug 24, 2018 23:52 UTC",Active,0,Success
Arianespace,"ELV-1, Guiana Space Centre, French Guiana, France","Wed Aug 22, 2018 21:20 UTC",Active,37.0,Success
ULA,"SLC-37B, Cape Canaveral SFS, Florida, USA","Sun Aug 12, 2018 07:31 UTC",Active,350.0,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Tue Aug 07, 2018 05:18 UTC",Active,50.0,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China","Tue Jul 31, 2018 03:00 UTC",Active,64.68,Success
CASC,"LC-3, Xichang Satellite Launch Center, China","Sun Jul 29, 2018 01:48 UTC",Active,0,Success
Virgin Galactic,"VMS Eve, Mojave Air and Space Port, California, USA","Thu Jul 26, 2018",Active,0,Success
SpaceX,"SLC-4E, Vandenberg SFB, California, USA","Wed Jul 25, 2018 11:39 UTC",Active,50.0,Success
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Wed Jul 25, 2018 11:25 UTC",Retired,0,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Sun Jul 22, 2018 05:50 UTC",Active,50.0,Success
Blue Origin,"Launch Site One, West Texas, Texas, USA","Wed Jul 18, 2018 15:11 UTC",Active,0,Success
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Mon Jul 09, 2018 21:51 UTC",Active,17.42,Success
CASC,"LC-2, Xichang Satellite Launch Center, China","Mon Jul 09, 2018 20:58 UTC",Active,69.7,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Mon Jul 09, 2018 03:56 UTC",Active,30.8,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Fri Jun 29, 2018 09:42 UTC",Retired,62.0,Success
CASC,"LC-3, Xichang Satellite Launch Center, China","Wed Jun 27, 2018 03:30 UTC",Active,30.8,Success
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia","Sat Jun 16, 2018 21:46 UTC",Active,25.0,Success
MHI,"LA-Y1, Tanegashima Space Center, Japan","Tue Jun 12, 2018 04:20 UTC",Active,90.0,Success
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Wed Jun 06, 2018 11:12 UTC",Retired,0,Success
CASC,"LC-2, Xichang Satellite Launch Center, China","Tue Jun 05, 2018 13:07 UTC",Active,69.7,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Mon Jun 04, 2018 04:45 UTC",Retired,62.0,Success
