Organisation,Location,Date,Rocket_Status,Price,Mission_Status
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan","Thu Jun 03, 2010 22:00 UTC",Active,65.0,Success
CASC,"LC-2, Xichang Satellite Launch Center, China","Wed Jun 02, 2010 15:53 UTC",Retired,20.14,Success
Eurockot,"Site 133/3, Plesetsk Cosmodrome, Russia","Wed Jun 02, 2010 01:59 UTC",Retired,13.0,Success
ULA,"SLC-37B, Cape Canaveral SFS, Florida, USA","Fri May 28, 2010 03:00 UTC",Retired,164.0,Success
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Fri May 21, 2010 22:01 UTC",Active,200.0,Success
MHI,"LA-Y1, Tanegashima Space Center, Japan","Thu May 20, 2010 21:58 UTC",Active,90.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA","Fri May 14, 2010 18:20 UTC",Retired,450.0,Success
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Wed Apr 28, 2010 17:15 UTC",Retired,20.0,Success
VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia","Tue Apr 27, 2010 01:05 UTC",Retired,0,Success
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan","Sat Apr 24, 2010 11:18 UTC",Active,65.0,Success
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA","Thu Apr 22, 2010 23:52 UTC",Retired,120.0,Success
VKS RF,"Site 16/2, Plesetsk Cosmodrome, Russia","Fri Apr 16, 2010 15:00 UTC",Retired,20.0,Success
ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India","Thu Apr 15, 2010 10:57 UTC",Active,47.0,Failure
Kosmotras,"Site 109/95, Baikonur Cosmodrome, Kazakhstan","Thu Apr 08, 2010 13:57 UTC",Retired,29.0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA","Mon Apr 05, 2010 10:21 UTC",Retired,450.0,Success
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Apr 02, 2010 04:04 UTC",Retired,0,Success
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan","Sat Mar 20, 2010 18:26 UTC",Active,65.0,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Fri Mar 05, 2010 04:55 UTC",Active,64.68,Success
ULA,"SLC-37B, Cape Canaveral SFS, Florida, USA","Thu Mar 04, 2010 23:57 UTC",Retired,164.0,Success
Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan","Mon Mar 01, 2010 21:19 UTC",Active,65.0,Success
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan","Fri Feb 12, 2010 00:39 UTC",Active,65.0,Success
